UMAP_1,UMAP_2,kmeans_cluster
12.470412,-2.3333936,4
17.772781,3.2121024,0
-7.142255,4.869061,1
12.679077,-2.7132466,4
12.548369,-1.7327809,4
6.2946515,0.5157382,2
6.79151,0.24073766,2
8.415114,-5.7091813,2
0.038251065,-1.966732,2
1.0803955,7.8014536,1
3.5405533,-5.3057694,2
8.718827,-5.281602,2
0.11175946,-1.9155658,2
0.123637944,-1.9403226,2
10.491372,0.38241935,4
2.3975527,-5.0336156,2
3.3955827,-5.7255325,2
1.7245243,-5.378971,2
9.50711,6.994596,5
12.348683,-2.4167962,4
12.595702,-1.6576767,4
10.604471,0.57714623,4
3.7645533,-5.748951,2
10.52757,0.46226013,4
0.51201665,-2.059973,2
2.978973,-6.058972,2
3.5017617,-6.020034,2
17.960386,2.9222867,0
3.372283,-5.304912,2
0.46364912,-2.0733798,2
6.7074156,0.6206904,2
5.0714664,0.72796357,2
5.052639,0.6497384,2
12.582744,-2.13262,4
2.8035183,-6.083842,2
17.869635,2.704929,0
-0.46634656,6.861988,1
12.482696,-2.3558016,4
2.4539645,-3.6775157,2
13.127505,-2.5111701,4
6.270267,7.9079576,5
8.75993,-5.9603057,2
0.67129606,-2.0294058,2
2.113707,-4.9433837,2
1.7975496,-5.407079,2
17.718897,2.920867,0
-0.18173018,6.4787583,1
1.0140514,7.7666006,1
1.9855494,-5.422422,2
17.80879,3.0360088,0
2.4842014,-3.687443,2
3.4345493,-5.76686,2
19.227045,4.864383,0
6.485664,-0.018610958,2
6.385284,0.24383287,2
0.83760417,-1.2436559,2
5.0404377,0.6344298,2
2.4284146,-5.8720264,2
2.3338182,-5.046102,2
18.245186,6.7553515,0
12.438955,-2.4109302,4
-0.19547409,7.1255393,1
15.269925,5.701421,0
8.727361,-5.996219,2
8.751305,-5.9096565,2
17.841108,3.0415068,0
10.365778,0.50153077,4
2.9724793,-5.676764,2
1.1382146,7.7171245,1
1.1688762,9.420725,1
1.2727524,9.411947,1
6.8503957,-0.47903943,2
2.5570405,-5.5683174,2
2.4900076,-4.7113013,2
12.733163,-2.6281734,4
8.594985,-5.792814,2
12.537776,-2.2871583,4
2.7407014,-5.3082767,2
0.628396,-2.0038433,2
6.6945295,0.6265539,2
-0.49719265,6.7295475,1
2.3061955,-5.265652,2
17.726301,5.0426884,0
-7.548117,4.480909,1
10.929939,0.40355504,4
10.3478565,0.53643864,4
12.485576,-2.3512714,4
1.748977,-5.4391656,2
10.924076,0.32600954,4
2.4966617,-5.258307,2
2.9460347,-6.1376796,2
8.407786,-5.6322527,2
10.646106,0.7195547,4
1.7385168,-5.4453673,2
2.7132742,-5.2358375,2
0.6797227,-1.8786716,2
1.7768842,-5.4254184,2
8.935376,-5.623617,2
1.7208862,-5.479178,2
2.7193384,-5.234288,2
-0.0808906,6.8489337,1
10.395647,0.5058852,4
9.605359,7.5626197,5
2.5007203,-5.9063196,2
8.712194,-5.8695884,2
10.288076,0.5002267,4
1.846627,-5.425958,2
12.748022,-2.318742,4
2.4686499,-5.717832,2
6.6878963,0.5837809,2
11.129763,0.9048597,4
2.4923594,-3.635845,2
12.786451,-2.6454616,4
2.448504,-3.7172613,2
2.7518497,-5.1479015,2
-0.23656411,7.122059,1
6.258904,0.0315212,2
19.204584,4.8494263,0
17.773672,2.542748,0
17.768839,2.845481,0
18.37648,6.8176823,0
2.5696497,-5.5674825,2
-7.1531053,4.9078274,1
1.7446923,-5.4629884,2
9.617471,7.569215,5
8.867102,-5.568344,2
1.998743,-5.0769343,2
8.9350395,-5.7019105,2
10.933362,-1.8900446,4
16.928265,7.2253966,0
12.382021,-2.4146702,4
8.554065,-5.806379,2
2.120524,-4.9319477,2
0.5879254,-2.0156918,2
6.7364774,0.32376188,2
